standard_count,total_CB_count,total_test_count,1 (60950-1),Lab. AH,Lab_AH_log
1,1,26,0,3.044522437723423,1.3973634811730353
1,1,17,0,0.2231435513142098,0.20142422619816863
1,0,7,0,3.032546246676707,1.3943979994391784
1,0,7,0,3.032546246676707,1.3943979994391784
1,0,2,0,3.020424886144363,1.3913875901165478
1,0,21,0,3.020424886144363,1.3913875901165478
1,0,21,0,3.020424886144363,1.3913875901165478
1,0,3,1,3.817712325956905,1.572299194223463
1,1,13,0,0.0,0.0
1,1,12,0,0.0,0.0
3,1,15,0,4.852030263919617,1.7667886546960463
1,0,1,0,3.332204510175204,1.4660765372061442
2,1,12,0,3.83945231259331,1.5768015557705268
1,1,11,0,2.957511060733793,1.3756153076481625
2,1,15,0,0.0,0.0
1,1,25,0,2.94443897916644,1.372306733580753
2,1,15,0,4.844187086458591,1.765447506801529
2,1,16,0,3.610917912644224,1.5284269505599697
1,0,4,0,3.258096538021482,1.448822238365871
1,1,5,0,3.401197381662155,1.48187663609891
1,1,11,0,0.0,0.0
1,1,11,0,0.0,0.0
2,1,14,0,3.886705197443856,1.5865182926386805
1,1,9,0,0.0,0.0
2,1,0,0,2.890371757896165,1.358504720646626
1,0,4,0,3.218875824868201,1.4395687003478859
1,1,8,0,1.386294361119891,0.869741686191944
1,1,11,0,0.0,0.0
1,0,11,0,0.0,0.0
1,0,0,0,2.876385515921425,1.3549031513945011
1,1,5,0,2.862200880929469,1.3512371973945323
1,1,0,0,0.0,0.0
1,1,8,0,4.204692619390966,1.6495606454510718
1,1,5,0,3.178053830347946,1.4298455472897516
1,1,0,0,0.009950330853168083,0.009901152270820517
3,1,1,0,2.862200880929469,1.3512371973945323
2,0,0,0,3.008154793552548,1.3883309841826317
1,0,5,1,3.305053521109253,1.4597895701158288
1,0,6,1,0.0,0.0
1,1,0,0,0.0,0.0
1,1,9,0,0.0,0.0
1,1,11,0,4.248495242049359,1.6579414149579819
1,1,16,0,3.58351893845611,1.5224670302876946
2,1,2,0,2.833213344056216,1.3437034446606386
1,0,3,0,0.0,0.0
1,1,11,0,0.0,0.0
1,1,2,0,3.218875824868201,1.4395687003478859
1,1,3,0,3.13549421592915,1.4196068415100236
1,1,0,0,2.70805020110221,1.3105061862047918
1,1,2,0,3.102342008612249,1.4115580322380425
2,1,4,0,2.442347035369204,1.23615351646328
3,1,12,0,2.674148649426529,1.3013214458074807
1,1,3,0,0.0,0.0
1,1,13,0,3.688879454113936,1.5451936315479267
1,1,0,0,0.0,0.0
2,1,11,0,3.58351893845611,1.5224670302876946
3,1,3,0,0.0,0.0
2,1,14,0,3.23867845216438,1.444251534849461
1,1,0,0,0.009950330853168083,0.009901152270820517
1,1,4,0,0.009950330853168083,0.009901152270820517
1,0,0,0,0.0,0.0
2,1,9,0,0.0,0.0
1,1,5,0,0.0,0.0
2,1,23,0,4.553876891600541,1.7144962229206409
1,0,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,1,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,0,2,0,2.890371757896165,1.358504720646626
1,1,0,0,0.0,0.0
1,0,0,0,0.0,0.0
1,1,4,0,2.995732273553991,1.3852268599316875
1,0,0,0,0.0,0.0
1,1,0,0,0.0,0.0
1,1,10,0,3.555348061489414,1.516301940852837
2,1,16,0,4.143134726391533,1.637662762520353
2,0,22,0,2.772588722239781,1.327761429538331
1,1,9,0,0.0,0.0
1,0,4,1,0.0,0.0
1,1,0,0,2.772588722239781,1.327761429538331
1,1,11,0,3.970291913552122,1.6034785735048491
1,1,0,0,2.833213344056216,1.3437034446606386
1,1,11,0,3.850147601710058,1.5790091378285869
1,1,2,0,2.70805020110221,1.3105061862047918
2,1,0,0,2.564949357461537,1.2711498482847257
2,1,1,0,2.833213344056216,1.3437034446606386
1,1,4,0,2.564949357461537,1.2711498482847257
1,1,9,0,3.433987204485146,1.4892992254175483
1,0,9,0,3.433987204485146,1.4892992254175483
1,0,8,0,3.113515309210374,1.4142779693192962
1,1,9,0,2.505525936990736,1.2543405625793864
1,1,8,0,3.228826155721369,1.441924449989076
1,1,0,0,2.499795262281751,1.2527044702934533
3,1,15,0,4.418840607796598,1.68988188256892
1,0,8,0,0.0,0.0
1,1,0,0,2.484906649788,1.2484412575662103
1,1,4,0,3.044522437723423,1.3973634811730353
3,1,8,0,1.386294361119891,0.869741686191944
1,0,16,0,2.19722457733622,1.1622831138840006
1,0,7,0,0.0,0.0
3,1,14,0,3.737669618283368,1.5555453730992024
1,1,11,0,2.890371757896165,1.358504720646626
1,1,4,0,2.94443897916644,1.372306733580753
1,1,1,0,2.890371757896165,1.358504720646626
1,1,7,0,0.0,0.0
2,1,5,0,1.945910149055313,1.0804178182729876
3,1,5,0,0.0,0.0
2,1,6,0,2.484906649788,1.2484412575662103
2,1,2,0,2.833213344056216,1.3437034446606386
1,1,10,0,3.433987204485146,1.4892992254175483
1,0,10,0,3.433987204485146,1.4892992254175483
2,1,9,0,3.314186004672526,1.4619086635586904
2,1,10,0,3.23867845216438,1.444251534849461
1,1,10,0,3.349904087274605,1.4701537959551225
2,1,11,0,3.417726683613366,1.4856252388047966
1,1,4,0,1.321755839982319,0.8423237270072311
2,1,4,0,1.321755839982319,0.8423237270072311
2,1,25,0,4.553876891600541,1.7144962229206409
1,1,0,0,0.0,0.0
1,1,4,0,0.0,0.0
1,1,5,0,0.0,0.0
1,1,0,0,0.0,0.0
1,1,5,0,2.995732273553991,1.3852268599316875
1,0,4,0,2.94443897916644,1.372306733580753
1,1,6,1,0.0,0.0
1,1,0,0,0.0,0.0
1,1,0,0,0.0,0.0
1,1,0,0,0.0,0.0
2,1,1,0,0.0,0.0
1,1,0,0,2.351375257163478,1.209370786121248
1,1,10,0,3.113515309210374,1.4142779693192962
1,1,8,0,2.351375257163478,1.209370786121248
1,1,3,0,3.020424886144363,1.3913875901165478
1,1,6,0,2.014903020542265,1.1035676640041994
1,1,9,0,2.442347035369204,1.23615351646328
1,1,6,0,2.351375257163478,1.209370786121248
2,1,15,0,3.349904087274605,1.4701537959551225
1,1,1,0,2.656756906714659,1.2965766635409604
2,1,1,0,2.656756906714659,1.2965766635409604
2,1,6,0,3.188416617383492,1.4323227669009742
1,0,5,0,0.0,0.0
1,1,1,0,0.0,0.0
2,1,1,0,0.0,0.0
1,1,6,0,0.0,0.0
1,1,5,0,3.13549421592915,1.4196068415100236
1,1,5,0,0.0,0.0
2,1,3,0,2.639057329615258,1.291724672728311
3,1,5,0,2.94443897916644,1.372306733580753
2,1,5,0,0.0,0.0
1,1,2,1,0.0,0.0
2,1,6,0,0.6931471805599453,0.5265890341390445
1,1,2,0,1.6094379124341,0.9591348389208239
1,1,11,0,3.178053830347946,1.4298455472897516
3,1,2,0,0.0,0.0
1,0,0,0,2.302585092994046,1.1947055233182955
2,1,13,0,2.397895272798371,1.223156202527103
2,1,16,0,3.091042453358316,1.4087998161504007
1,1,4,0,2.277267285009756,1.187009930323922
1,1,6,0,2.93119375241642,1.3689431335528524
1,1,8,0,1.871802176901591,1.054939768904731
2,1,3,0,0.0,0.0
1,1,6,0,0.0,0.0
1,1,16,0,3.367295829986474,1.4741440143630178
1,0,1,1,0.0,0.0
1,0,0,0,0.0,0.0
1,1,0,0,0.0,0.0
1,1,4,0,0.0,0.0
1,1,0,0,2.19722457733622,1.1622831138840006
1,1,6,0,3.332204510175204,1.4660765372061442
1,1,1,0,0.0,0.0
2,0,22,0,2.19722457733622,1.1622831138840006
1,1,7,0,2.19722457733622,1.1622831138840006
1,1,1,0,2.484906649788,1.2484412575662103
1,1,7,0,2.19722457733622,1.1622831138840006
3,1,5,0,0.0,0.0
1,0,1,1,2.302585092994046,1.1947055233182955
1,1,28,0,2.19722457733622,1.1622831138840006
1,1,10,0,2.70805020110221,1.3105061862047918
1,1,5,0,2.94443897916644,1.372306733580753
1,1,9,0,3.091042453358316,1.4087998161504007
2,0,9,0,3.091042453358316,1.4087998161504007
2,1,9,0,3.091042453358316,1.4087998161504007
3,1,9,0,3.091042453358316,1.4087998161504007
3,1,9,0,3.13549421592915,1.4196068415100236
3,1,10,0,2.169053700369523,1.1534330260904617
1,1,5,0,2.862200880929469,1.3512371973945323
1,0,18,0,3.650658241293739,1.5370087668484511
2,0,0,0,2.140066163496271,1.1442438708753242
1,1,7,0,3.068052935133617,1.4031644906713696
1,1,5,0,0.9162907318741551,0.65039140701146
2,1,9,0,3.068052935133617,1.4031644906713696
2,1,10,0,3.23867845216438,1.444251534849461
1,1,21,0,2.140066163496271,1.1442438708753242
2,1,1,0,2.505525936990736,1.2543405625793864
1,1,2,0,0.0,0.0
1,1,4,0,0.0,0.0
1,1,6,0,3.044522437723423,1.3973634811730353
1,0,24,0,2.079441541679836,1.1247482629090364
1,1,4,0,0.0,0.0
1,0,7,0,2.079441541679836,1.1247482629090364
1,0,27,0,2.079441541679836,1.1247482629090364
1,1,5,0,1.09861228866811,0.7412763113750154
1,1,6,0,2.833213344056216,1.3437034446606386
2,1,8,0,2.19722457733622,1.1622831138840006
1,0,4,0,0.0,0.0
1,1,1,0,2.397895272798371,1.223156202527103
1,1,1,0,2.397895272798371,1.223156202527103
1,1,3,0,1.09861228866811,0.7412763113750154
1,0,25,0,2.014903020542265,1.1035676640041994
3,1,19,0,3.881563797943437,1.5854656189300385
1,1,1,0,2.351375257163478,1.209370786121248
1,1,2,0,2.442347035369204,1.23615351646328
1,1,3,0,2.740840023925201,1.3193101915340342
1,0,2,0,2.505525936990736,1.2543405625793864
1,1,12,0,3.056356895370426,1.4002852543730502
1,0,14,0,3.473518043241782,1.498175133358681
1,0,1,0,2.079441541679836,1.1247482629090364
1,0,0,0,2.079441541679836,1.1247482629090364
2,1,0,0,0.0,0.0
1,1,0,0,0.0,0.0
2,0,0,0,0.0,0.0
1,0,3,0,0.0,0.0
1,0,22,0,3.610917912644224,1.5284269505599697
1,1,1,0,2.19722457733622,1.1622831138840006
2,1,9,0,2.94443897916644,1.372306733580753
1,1,3,0,1.09861228866811,0.7412763113750154
1,1,24,0,1.945910149055313,1.0804178182729876
2,1,9,0,2.302585092994046,1.1947055233182955
3,1,3,0,2.564949357461537,1.2711498482847257
2,1,7,0,2.94443897916644,1.372306733580753
1,1,9,1,3.044522437723423,1.3973634811730353
1,1,9,1,3.044522437723423,1.3973634811730353
1,1,12,0,3.761200115693562,1.5604997616108316
1,0,18,0,1.909542504884439,1.0679958540075125
2,1,4,0,2.442347035369204,1.23615351646328
1,1,17,0,3.540959324037314,1.513138294585564
1,1,15,0,1.871802176901591,1.054939768904731
1,1,17,0,1.871802176901591,1.054939768904731
2,1,3,0,2.351375257163478,1.209370786121248
1,1,5,1,2.674148649426529,1.3013214458074807
1,1,9,0,3.020424886144363,1.3913875901165478
1,1,2,0,2.327277705584417,1.2021544638217265
2,1,1,0,2.303584593327129,1.1950081193423665
3,1,5,0,1.6094379124341,0.9591348389208239
2,1,5,0,1.6094379124341,0.9591348389208239
1,1,2,1,0.0,0.0
1,1,2,0,0.0,0.0
1,0,12,0,3.044522437723423,1.3973634811730353
2,1,2,0,0.0,0.0
1,0,1,0,0.6931471805599453,0.5265890341390445
1,0,5,0,2.772588722239781,1.327761429538331
1,0,14,0,1.791759469228055,1.026672031199051
2,1,12,0,1.791759469228055,1.026672031199051
1,0,0,0,2.19722457733622,1.1622831138840006
1,1,2,0,0.0,0.0
1,1,24,0,1.791759469228055,1.026672031199051
1,1,5,0,1.6094379124341,0.9591348389208239
1,1,15,0,3.178053830347946,1.4298455472897516
1,0,7,0,1.791759469228055,1.026672031199051
2,1,9,0,2.995732273553991,1.3852268599316875
1,0,28,0,1.791759469228055,1.026672031199051
2,1,9,0,1.791759469228055,1.026672031199051
2,1,9,0,2.079441541679836,1.1247482629090364
1,0,3,1,0.6931471805599453,0.5265890341390445
1,1,6,0,1.791759469228055,1.026672031199051
1,0,6,0,1.791759469228055,1.026672031199051
2,1,1,0,2.079441541679836,1.1247482629090364
1,1,9,0,1.791759469228055,1.026672031199051
1,1,2,0,2.833213344056216,1.3437034446606386
1,0,9,0,3.091042453358316,1.4087998161504007
1,0,4,1,1.791759469228055,1.026672031199051
2,1,2,0,0.2231435513142098,0.20142422619816863
1,0,16,0,1.749199854809259,1.0113099074533152
1,0,10,0,2.583997552432231,1.2764788121973367
1,0,7,1,2.876385515921425,1.3549031513945011
1,1,5,0,1.704748092238425,0.9950087812478073
1,1,5,0,2.674148649426529,1.3013214458074807
1,1,7,0,2.674148649426529,1.3013214458074807
1,1,6,1,2.674148649426529,1.3013214458074807
1,0,3,1,1.704748092238425,0.9950087812478073
1,0,6,1,2.740840023925201,1.3193101915340342
1,1,1,0,2.656756906714659,1.2965766635409604
2,1,1,0,2.656756906714659,1.2965766635409604
1,1,1,0,0.0,0.0
1,0,1,1,0.0,0.0
2,1,1,0,0.0,0.0
1,0,1,0,0.0,0.0
2,0,1,0,0.0,0.0
1,1,7,0,2.833213344056216,1.3437034446606386
1,1,11,0,1.6094379124341,0.9591348389208239
1,1,0,0,1.6094379124341,0.9591348389208239
1,0,6,0,2.639057329615258,1.291724672728311
1,1,5,0,0.0,0.0
2,1,15,0,3.332204510175204,1.4660765372061442
1,0,3,0,1.6094379124341,0.9591348389208239
2,0,3,0,1.945910149055313,1.0804178182729876
2,1,1,0,0.0,0.0
1,1,5,0,1.791759469228055,1.026672031199051
1,1,3,0,1.6094379124341,0.9591348389208239
1,1,4,0,1.6094379124341,0.9591348389208239
1,0,7,0,1.6094379124341,0.9591348389208239
2,0,3,0,2.833213344056216,1.3437034446606386
2,1,16,0,1.6094379124341,0.9591348389208239
2,0,22,0,1.6094379124341,0.9591348389208239
1,0,12,0,1.6094379124341,0.9591348389208239
1,0,2,1,0.6931471805599453,0.5265890341390445
1,0,10,0,1.6094379124341,0.9591348389208239
3,1,3,0,1.09861228866811,0.7412763113750154
1,0,4,0,1.386294361119891,0.869741686191944
2,1,19,0,1.6094379124341,0.9591348389208239
1,0,5,0,1.6094379124341,0.9591348389208239
1,1,7,0,1.945910149055313,1.0804178182729876
2,1,22,0,1.6094379124341,0.9591348389208239
1,1,3,0,2.397895272798371,1.223156202527103
1,0,3,0,2.397895272798371,1.223156202527103
1,1,3,0,1.178654996341646,0.7787077122389138
2,1,3,0,1.178654996341646,0.7787077122389138
1,0,7,1,2.818398258271075,1.3398310305684116
1,1,27,0,1.504077396776274,0.9179203620158713
1,0,2,0,2.251291798606495,1.1790523938630963
1,1,2,0,1.871802176901591,1.054939768904731
2,1,1,0,0.4054651081081644,0.3403682858041914
1,1,9,0,2.917770732084279,1.3655228012416016
1,1,3,0,1.252762968495368,0.8121574488561436
3,1,10,0,2.674148649426529,1.3013214458074807
1,0,13,0,1.504077396776274,0.9179203620158713
1,1,25,0,1.504077396776274,0.9179203620158713
2,1,25,0,1.504077396776274,0.9179203620158713
1,0,2,0,0.9162907318741551,0.65039140701146
1,1,1,0,2.140066163496271,1.1442438708753242
2,1,4,0,2.442347035369204,1.23615351646328
2,1,10,0,2.442347035369204,1.23615351646328
3,1,2,0,1.446918982936325,0.8948296751818706
2,1,0,0,0.0,0.0
